ville,latitude,longitude,type_incident,gravite,date_signalement,heure,jour_semaine,nb_signalements_30j,precipitation_mm,temperature_c,risk_score,niveau_risque,annee,mois
Yaoundé,3.8254,11.5518,incendie,2,2025-08-20 10:37:38,10,2,5.0,84.2,21.3,0.6647,ELEVE,2025,8
Douala,4.0346,9.7923,inondation,2,2026-03-13 07:20:38,7,4,1.0,1.0,24.9,0.8566,ELEVE,2026,3
Yaoundé,3.8978,11.4872,criminalité,3,2026-01-18 11:59:38,11,6,24.0,17.0,24.2,0.8152,ELEVE,2026,1
Douala,4.0377,9.7404,criminalité,4,2025-12-22 08:10:38,8,0,18.0,86.7,19.6,0.9585,ELEVE,2025,12
Garoua,9.3461,13.4308,inondation,5,2026-04-14 16:44:38,16,1,25.0,43.4,20.0,1.0,ELEVE,2026,4
Ebolowa,2.9037,11.192,criminalité,2,2025-11-14 20:10:38,20,4,21.0,7.1,33.4,0.339,FAIBLE,2025,11
Garoua,9.3286,13.3923,pollution,5,2025-08-01 02:20:38,2,4,17.0,84.5,19.6,0.8565,ELEVE,2025,8
Douala,4.089,9.7751,criminalité,5,2026-06-16 19:19:38,19,1,20.0,101.7,23.2,1.0,ELEVE,2026,6
Bafoussam,5.4281,10.4087,glissement,4,2025-12-01 00:22:38,0,0,24.0,16.0,21.5,0.6335,MOYEN,2025,12
Ngaoundéré,7.3116,13.5637,criminalité,4,2026-01-09 09:15:38,9,4,13.0,58.7,30.8,0.6784,ELEVE,2026,1
Douala,4.0077,9.7198,inondation,5,2026-06-10 14:52:38,14,2,18.0,53.7,24.3,1.0,ELEVE,2026,6
Bafoussam,5.4312,10.3707,incendie,1,2026-03-30 19:36:38,19,0,5.0,76.5,33.1,0.4649,MOYEN,2026,3
Bafoussam,5.4534,10.4248,inondation,1,2025-11-02 08:07:38,8,6,22.0,98.5,22.0,0.5045,MOYEN,2025,11
Ngaoundéré,7.2859,13.5857,inondation,4,2025-07-14 06:45:38,6,0,22.0,70.7,33.4,0.6088,MOYEN,2025,7
Bertoua,4.5366,13.7304,incendie,5,2025-08-09 23:00:38,23,5,9.0,57.3,22.7,0.8075,ELEVE,2025,8
Ebolowa,2.8512,11.1469,criminalité,4,2026-03-25 10:30:38,10,2,16.0,28.5,29.8,0.6871,ELEVE,2026,3
Bertoua,4.5348,13.7167,pollution,4,2026-03-28 12:10:38,12,5,16.0,16.1,31.9,0.6956,ELEVE,2026,3
Ngaoundéré,7.3245,13.5966,incendie,5,2026-03-18 19:21:38,19,2,17.0,72.7,20.0,0.8161,ELEVE,2026,3
Maroua,10.5468,14.2816,pollution,5,2025-07-10 16:45:38,16,3,11.0,17.8,32.2,0.9978,ELEVE,2025,7
Douala,4.0676,9.7702,inondation,5,2025-11-03 06:05:38,6,0,25.0,68.7,30.4,1.0,ELEVE,2025,11
Maroua,10.5686,14.2862,inondation,5,2026-04-04 12:11:38,12,5,3.0,47.4,20.5,1.0,ELEVE,2026,4
Ngaoundéré,7.2821,13.56,criminalité,1,2026-03-17 11:06:38,11,1,7.0,108.2,31.8,0.3913,MOYEN,2026,3
Garoua,9.3087,13.4336,accident_route,2,2025-06-27 15:32:38,15,4,2.0,108.6,34.4,0.83,ELEVE,2025,6
Bertoua,4.5609,13.7082,incendie,5,2026-06-11 10:46:38,10,3,25.0,69.1,27.5,0.8025,ELEVE,2026,6
Ngaoundéré,7.3125,13.5512,incendie,3,2025-10-19 02:09:38,2,6,13.0,60.1,27.9,0.5314,MOYEN,2025,10
Garoua,9.3473,13.3812,criminalité,5,2026-04-27 19:41:38,19,0,23.0,3.2,34.9,0.92,ELEVE,2026,4
Ngaoundéré,7.3414,13.579,criminalité,5,2025-08-07 23:34:38,23,3,24.0,29.8,24.9,0.6461,MOYEN,2025,8
Yaoundé,3.8134,11.4546,criminalité,5,2026-02-16 04:38:38,4,0,11.0,50.5,37.2,0.8254,ELEVE,2026,2
Bertoua,4.5686,13.7221,accident_route,2,2026-01-30 21:43:38,21,4,15.0,60.3,23.5,0.4941,MOYEN,2026,1
Bertoua,4.5502,13.721,criminalité,1,2025-11-26 11:29:38,11,2,18.0,22.8,25.8,0.5487,MOYEN,2025,11
Bertoua,4.6081,13.6818,accident_route,3,2026-02-10 08:57:38,8,1,19.0,11.5,20.7,0.6457,MOYEN,2026,2
Ebolowa,2.9477,11.1407,glissement,3,2026-01-20 22:16:38,22,1,24.0,4.2,32.2,0.4697,MOYEN,2026,1
Douala,4.0372,9.7271,pollution,3,2025-10-25 07:56:38,7,5,3.0,32.2,25.6,0.9578,ELEVE,2025,10
Ngaoundéré,7.355,13.5934,criminalité,5,2025-08-26 05:48:38,5,1,3.0,7.9,26.0,0.6538,ELEVE,2025,8
Maroua,10.5559,14.3647,accident_route,4,2025-11-15 07:26:38,7,5,6.0,8.9,36.9,1.0,ELEVE,2025,11
Yaoundé,3.8673,11.5359,criminalité,2,2026-05-17 15:30:38,15,6,1.0,26.9,30.2,0.8231,ELEVE,2026,5
Ngaoundéré,7.3214,13.6244,inondation,3,2025-09-25 13:46:38,13,3,15.0,11.0,22.2,0.6129,MOYEN,2025,9
Maroua,10.5489,14.2823,criminalité,2,2025-07-08 05:31:38,5,1,20.0,29.5,23.9,0.8502,ELEVE,2025,7
Douala,4.0871,9.7902,inondation,4,2026-05-23 01:25:38,1,5,20.0,84.2,23.1,1.0,ELEVE,2026,5
Garoua,9.3497,13.362,incendie,4,2025-12-11 15:15:38,15,3,10.0,86.6,33.5,0.9344,ELEVE,2025,12
Garoua,9.3478,13.3537,glissement,2,2026-05-13 02:08:38,2,2,12.0,50.5,32.5,0.8379,ELEVE,2026,5
Maroua,10.5724,14.3579,accident_route,4,2026-06-10 13:15:38,13,2,17.0,88.0,18.4,0.977,ELEVE,2026,6
Ngaoundéré,7.2926,13.5353,glissement,3,2025-09-05 23:56:38,23,4,16.0,53.1,24.1,0.7395,ELEVE,2025,9
Maroua,10.589,14.3654,inondation,3,2025-10-15 01:15:38,1,2,10.0,92.4,18.9,1.0,ELEVE,2025,10
Douala,4.0636,9.7561,incendie,5,2026-01-15 18:04:38,18,3,1.0,85.1,33.8,1.0,ELEVE,2026,1
Ebolowa,2.887,11.1464,accident_route,1,2026-04-13 04:13:38,4,0,20.0,36.0,24.6,0.3848,MOYEN,2026,4
Bertoua,4.5534,13.6825,incendie,1,2026-04-02 17:28:38,17,3,17.0,20.3,25.6,0.5965,MOYEN,2026,4
Garoua,9.2923,13.4146,incendie,3,2026-03-29 13:02:38,13,6,8.0,5.5,22.8,0.7232,ELEVE,2026,3
Ngaoundéré,7.3723,13.5457,incendie,1,2025-08-09 06:52:38,6,5,13.0,60.1,27.9,0.5523,MOYEN,2025,8
Douala,4.0737,9.8076,pollution,2,2025-09-19 08:25:38,8,4,15.0,6.0,23.0,0.8825,ELEVE,2025,9
Bafoussam,5.4954,10.4422,accident_route,1,2025-11-25 23:54:38,23,1,19.0,43.8,20.6,0.3295,FAIBLE,2025,11
Bafoussam,5.5062,10.3945,criminalité,4,2025-08-16 23:20:38,23,5,2.0,7.6,31.1,0.4905,MOYEN,2025,8
Ngaoundéré,7.3744,13.5944,inondation,1,2026-01-29 10:21:38,10,3,3.0,103.5,29.5,0.4246,MOYEN,2026,1
Maroua,10.624,14.331,accident_route,5,2026-06-06 00:09:38,0,5,7.0,0.9,20.9,1.0,ELEVE,2026,6
Ngaoundéré,7.3545,13.5799,incendie,3,2025-10-14 05:04:38,5,1,15.0,111.6,29.5,0.5666,MOYEN,2025,10
Douala,4.0053,9.7197,criminalité,5,2025-09-23 21:12:38,21,1,7.0,54.9,23.2,0.9265,ELEVE,2025,9
Douala,4.0105,9.7665,incendie,5,2026-02-20 06:45:38,6,4,7.0,59.4,32.1,1.0,ELEVE,2026,2
Maroua,10.5702,14.2905,incendie,1,2026-05-21 20:09:38,20,3,4.0,95.9,26.7,0.855,ELEVE,2026,5
Garoua,9.2779,13.3847,incendie,1,2025-10-20 23:32:38,23,0,20.0,54.9,20.2,0.5315,MOYEN,2025,10
Garoua,9.307,13.3997,inondation,5,2025-10-31 03:22:38,3,4,20.0,87.6,20.8,1.0,ELEVE,2025,10
Ngaoundéré,7.2933,13.61,inondation,4,2025-06-27 18:26:38,18,4,4.0,54.6,31.5,0.624,MOYEN,2025,6
Ebolowa,2.9151,11.183,glissement,4,2026-02-10 15:38:38,15,1,12.0,20.3,32.4,0.5117,MOYEN,2026,2
Bertoua,4.5561,13.6524,incendie,1,2025-11-27 23:12:38,23,3,22.0,30.6,37.1,0.6852,ELEVE,2025,11
Ngaoundéré,7.3547,13.5857,incendie,4,2025-12-03 05:07:38,5,2,19.0,65.5,25.5,0.5761,MOYEN,2025,12
Garoua,9.2878,13.3902,criminalité,4,2025-10-06 00:20:38,0,0,18.0,3.6,20.8,0.8866,ELEVE,2025,10
Bafoussam,5.4653,10.4446,accident_route,1,2025-07-13 20:42:38,20,6,2.0,35.2,25.5,0.4083,MOYEN,2025,7
Bafoussam,5.5055,10.4272,glissement,2,2026-06-17 19:04:38,19,2,1.0,14.2,27.3,0.4677,MOYEN,2026,6
Yaoundé,3.8068,11.5458,criminalité,5,2025-11-02 14:02:38,14,6,19.0,101.5,18.1,0.7871,ELEVE,2025,11
Maroua,10.5529,14.3366,incendie,1,2026-04-18 11:00:38,11,5,12.0,41.9,32.8,0.847,ELEVE,2026,4
Garoua,9.2862,13.4311,glissement,3,2026-06-08 08:49:38,8,0,17.0,109.1,26.6,0.8042,ELEVE,2026,6
Maroua,10.5647,14.3439,accident_route,3,2025-09-26 08:30:38,8,4,5.0,119.8,33.0,0.9743,ELEVE,2025,9
Douala,4.0395,9.7723,inondation,4,2026-05-01 23:07:38,23,4,6.0,97.6,36.7,1.0,ELEVE,2026,5
Ebolowa,2.8702,11.1673,accident_route,2,2026-02-18 04:27:38,4,2,12.0,41.3,34.8,0.5087,MOYEN,2026,2
Ngaoundéré,7.3213,13.5641,inondation,5,2025-08-19 10:37:38,10,1,17.0,52.2,36.4,0.6581,ELEVE,2025,8
Ngaoundéré,7.3223,13.6335,incendie,5,2025-09-02 14:22:38,14,1,10.0,72.4,23.8,0.796,ELEVE,2025,9
Ngaoundéré,7.3618,13.6072,pollution,4,2026-03-29 13:03:38,13,6,21.0,72.8,34.8,0.622,MOYEN,2026,3
Ebolowa,2.8889,11.1449,inondation,2,2025-08-01 01:13:38,1,4,21.0,118.4,24.3,0.5976,MOYEN,2025,8
Maroua,10.5914,14.3227,accident_route,4,2025-09-24 19:53:38,19,2,5.0,6.0,28.7,1.0,ELEVE,2025,9
Bertoua,4.6109,13.7181,glissement,2,2026-01-06 12:26:38,12,1,13.0,22.6,20.2,0.6785,ELEVE,2026,1
Maroua,10.6323,14.3657,criminalité,5,2025-09-25 12:07:38,12,3,24.0,48.8,29.1,1.0,ELEVE,2025,9
Garoua,9.2877,13.3557,glissement,5,2025-07-24 06:13:38,6,3,13.0,109.2,32.9,1.0,ELEVE,2025,7
Garoua,9.3271,13.4096,criminalité,1,2025-09-01 08:09:38,8,0,3.0,5.3,22.6,0.6965,ELEVE,2025,9
Maroua,10.6213,14.3186,accident_route,1,2026-06-13 09:38:38,9,5,7.0,109.0,26.2,0.8216,ELEVE,2026,6
Bertoua,4.5429,13.6825,glissement,2,2025-10-19 15:43:38,15,6,6.0,105.8,18.5,0.6046,MOYEN,2025,10
Bafoussam,5.4795,10.3978,criminalité,5,2026-02-02 15:11:38,15,0,11.0,57.5,22.9,0.6455,MOYEN,2026,2
Douala,4.0638,9.8105,pollution,5,2025-12-29 14:53:38,14,0,16.0,9.7,18.1,1.0,ELEVE,2025,12
Bafoussam,5.4358,10.4171,pollution,5,2025-09-16 04:27:38,4,1,8.0,10.4,35.1,0.4985,MOYEN,2025,9
Douala,4.0482,9.8001,glissement,4,2026-04-22 02:57:38,2,2,6.0,23.9,37.3,1.0,ELEVE,2026,4
Bertoua,4.5914,13.6739,incendie,4,2025-08-07 01:03:38,1,3,15.0,22.2,35.2,0.708,ELEVE,2025,8
Maroua,10.5711,14.3585,inondation,2,2025-09-08 21:30:38,21,0,23.0,98.0,31.2,1.0,ELEVE,2025,9
Bafoussam,5.5152,10.4301,inondation,2,2025-07-23 14:08:38,14,2,19.0,102.7,35.6,0.3091,FAIBLE,2025,7
Ngaoundéré,7.3305,13.5499,accident_route,4,2025-11-06 17:34:38,17,3,11.0,41.0,27.2,0.7181,ELEVE,2025,11
Yaoundé,3.8511,11.4809,accident_route,5,2025-12-13 17:39:38,17,5,22.0,114.1,34.5,0.8293,ELEVE,2025,12
Bafoussam,5.4934,10.3908,accident_route,3,2025-08-19 15:26:38,15,1,13.0,63.5,32.6,0.488,MOYEN,2025,8
Bertoua,4.5369,13.7333,criminalité,1,2026-01-12 06:58:38,6,0,6.0,117.8,27.5,0.4885,MOYEN,2026,1
Maroua,10.6226,14.296,glissement,4,2025-08-17 12:17:38,12,6,16.0,8.9,30.6,1.0,ELEVE,2025,8
Ebolowa,2.8758,11.166,pollution,2,2026-05-23 12:10:38,12,5,17.0,79.7,30.4,0.3942,MOYEN,2026,5
Yaoundé,3.8211,11.4698,criminalité,2,2026-01-03 03:24:38,3,5,21.0,59.4,31.7,0.7094,ELEVE,2026,1
Maroua,10.5536,14.3269,pollution,4,2025-07-30 23:30:38,23,2,6.0,65.5,24.4,0.9209,ELEVE,2025,7
Maroua,10.6389,14.361,inondation,3,2026-06-14 19:50:38,19,6,11.0,42.1,21.6,0.8744,ELEVE,2026,6
Garoua,9.3283,13.3601,criminalité,1,2026-01-09 07:54:38,7,4,17.0,68.5,28.3,0.5564,MOYEN,2026,1
Ebolowa,2.912,11.1742,inondation,3,2026-05-24 15:25:38,15,6,20.0,105.8,35.6,0.5628,MOYEN,2026,5
Ebolowa,2.8795,11.1014,criminalité,2,2026-05-29 10:55:38,10,4,21.0,43.7,22.2,0.4963,MOYEN,2026,5
Ngaoundéré,7.3022,13.6238,criminalité,1,2025-11-30 17:21:38,17,6,4.0,32.1,23.0,0.4615,MOYEN,2025,11
Douala,4.0292,9.7722,glissement,3,2025-10-20 11:07:38,11,0,19.0,113.6,19.7,0.8724,ELEVE,2025,10
Ebolowa,2.9115,11.199,accident_route,4,2025-09-19 09:25:38,9,4,21.0,32.4,34.2,0.4693,MOYEN,2025,9
Garoua,9.3224,13.4272,criminalité,4,2025-12-18 15:03:38,15,3,8.0,71.1,34.1,0.8959,ELEVE,2025,12
Maroua,10.5995,14.3242,glissement,5,2026-04-01 04:51:38,4,2,19.0,18.6,18.8,1.0,ELEVE,2026,4
Bafoussam,5.4326,10.3696,criminalité,4,2025-07-25 14:39:38,14,4,21.0,116.6,19.8,0.7365,ELEVE,2025,7
Douala,4.0297,9.7382,inondation,5,2026-02-10 07:47:38,7,1,18.0,17.9,29.6,1.0,ELEVE,2026,2
