ville,latitude,longitude,type_incident,gravite,date_signalement,heure,jour_semaine,nb_signalements_30j,precipitation_mm,temperature_c,risk_score,niveau_risque
Yaoundé,3.825363,11.551812,incendie,2,2025-08-20 10:37:38,10,2,5.0,84.2,21.3,0.6647,ELEVE
Douala,4.034612,9.792251,inondation,2,2026-03-13 07:20:38,7,4,1.0,1.0,24.9,0.8566,ELEVE
Yaoundé,3.897793,11.487171,criminalité,3,2026-01-18 11:59:38,11,6,24.0,17.0,24.2,0.8152,ELEVE
Douala,4.037668,9.740438,criminalité,4,2025-12-22 08:10:38,8,0,18.0,86.7,19.6,0.9585,ELEVE
Garoua,9.346149,13.430849,inondation,5,2026-04-14 16:44:38,16,1,25.0,43.4,20.0,1.0,ELEVE
Ebolowa,2.90374,11.191986,criminalité,2,2025-11-14 20:10:38,20,4,21.0,7.1,33.4,0.339,FAIBLE
Garoua,9.328553,13.392329,pollution,5,2025-08-01 02:20:38,2,4,17.0,84.5,19.6,0.8565,ELEVE
Douala,4.088998,9.775077,criminalité,5,2026-06-16 19:19:38,19,1,20.0,101.7,23.2,1.0,ELEVE
Bafoussam,5.428101,10.408657,glissement,4,2025-12-01 00:22:38,0,0,24.0,16.0,21.5,0.6335,MOYEN
Ngaoundéré,7.311625,13.563738,criminalité,4,2026-01-09 09:15:38,9,4,13.0,58.7,30.8,0.6784,ELEVE
Douala,4.007717,9.719816,inondation,5,2026-06-10 14:52:38,14,2,18.0,53.7,24.3,1.0,ELEVE
Bafoussam,5.43115,10.370735,incendie,1,2026-03-30 19:36:38,19,0,5.0,76.5,33.1,0.4649,MOYEN
Bafoussam,5.453386,10.424763,inondation,1,2025-11-02 08:07:38,8,6,22.0,98.5,22.0,0.5045,MOYEN
Ngaoundéré,7.285942,13.585706,inondation,4,2025-07-14 06:45:38,6,0,22.0,70.7,33.4,0.6088,MOYEN
Bertoua,4.536617,13.730386,incendie,5,2025-08-09 23:00:38,23,5,9.0,57.3,22.7,0.8075,ELEVE
Ebolowa,2.85124,11.146877,criminalité,4,2026-03-25 10:30:38,10,2,16.0,28.5,29.8,0.6871,ELEVE
Bertoua,4.534764,13.716737,pollution,4,2026-03-28 12:10:38,12,5,16.0,16.1,31.9,0.6956,ELEVE
Maroua,25.435498371502483,57.79391393868555,inondation,3,2026-05-13 16:12:38,16,2,7.0,23.1,23.5,1.0,ELEVE
Ngaoundéré,7.324454,13.596556,incendie,5,2026-03-18 19:21:38,19,2,17.0,72.7,20.0,0.8161,ELEVE
Maroua,10.546762,14.281645,pollution,5,2025-07-10 16:45:38,16,3,11.0,17.8,32.2,0.9978,ELEVE
Douala,4.06762,9.770207,inondation,5,2025-11-03 06:05:38,6,0,25.0,68.7,30.4,1.0,ELEVE
Maroua,10.56856,14.286155,inondation,5,2026-04-04 12:11:38,12,5,3.0,47.4,20.5,1.0,ELEVE
Ngaoundéré,7.282118,13.560026,criminalité,1,2026-03-17 11:06:38,11,1,7.0,108.2,31.8,0.3913,MOYEN
Garoua,9.308728,13.433558,accident_route,2,2025-06-27 15:32:38,15,4,2.0,108.6,34.4,0.83,ELEVE
Bertoua,4.56094,13.708249,incendie,5,2026-06-11 10:46:38,10,3,25.0,69.1,27.5,0.8025,ELEVE
Ngaoundéré,7.312521,13.551176,incendie,3,2025-10-19 02:09:38,2,6,,,,0.5314,MOYEN
Garoua,9.347299,13.381187,criminalité,5,2026-04-27 19:41:38,19,0,23.0,3.2,34.9,0.92,ELEVE
Ngaoundéré,7.341386,13.578977,criminalité,5,2025-08-07 23:34:38,23,3,24.0,29.8,24.9,0.6461,MOYEN
Yaoundé,3.813446,11.454645,criminalité,5,2026-02-16 04:38:38,4,0,11.0,50.5,37.2,0.8254,ELEVE
Bertoua,4.568641,13.722059,accident_route,2,2026-01-30 21:43:38,21,4,15.0,60.3,23.5,0.4941,MOYEN
Bertoua,4.550221,13.721007,criminalité,1,2025-11-26 11:29:38,11,2,18.0,22.8,25.8,0.5487,MOYEN
Bertoua,4.608054,13.681752,accident_route,3,2026-02-10 08:57:38,8,1,19.0,11.5,20.7,0.6457,MOYEN
Ebolowa,2.947717,11.140691,glissement,3,2026-01-20 22:16:38,22,1,24.0,4.2,32.2,0.4697,MOYEN
Douala,4.037197,9.727058,pollution,3,2025-10-25 07:56:38,7,5,3.0,32.2,25.6,0.9578,ELEVE
Ngaoundéré,7.355023,13.593364,criminalité,5,2025-08-26 05:48:38,5,1,3.0,7.9,26.0,0.6538,ELEVE
Maroua,10.555912,14.364655,accident_route,4,2025-11-15 07:26:38,7,5,6.0,8.9,36.9,1.0,ELEVE
Yaoundé,3.867263,11.535912,criminalité,2,2026-05-17 15:30:38,15,6,1.0,26.9,30.2,0.8231,ELEVE
Ngaoundéré,7.321422,13.624435,inondation,3,2025-09-25 13:46:38,13,3,15.0,11.0,22.2,0.6129,MOYEN
Maroua,10.54892,14.282258,criminalité,2,2025-07-08 05:31:38,5,1,20.0,29.5,23.9,0.8502,ELEVE
Douala,4.087114,9.790181,inondation,4,2026-05-23 01:25:38,1,5,20.0,84.2,23.1,1.0,ELEVE
Garoua,9.349728,13.362042,incendie,4,2025-12-11 15:15:38,15,3,10.0,86.6,33.5,0.9344,ELEVE
Garoua,9.347807,13.353656,glissement,2,2026-05-13 02:08:38,2,2,12.0,50.5,32.5,0.8379,ELEVE
Maroua,10.572359,14.357948,accident_route,4,2026-06-10 13:15:38,13,2,17.0,88.0,18.4,0.977,ELEVE
Ngaoundéré,7.292637,13.535254,glissement,3,2025-09-05 23:56:38,23,4,16.0,53.1,24.1,0.7395,ELEVE
Maroua,10.588982,14.365394,inondation,3,2025-10-15 01:15:38,1,2,10.0,92.4,18.9,1.0,ELEVE
Douala,4.063566,9.756094,incendie,5,2026-01-15 18:04:38,18,3,1.0,85.1,33.8,1.0,ELEVE
Ebolowa,2.886957,11.146424,accident_route,0,2026-04-13 04:13:38,4,0,20.0,36.0,24.6,0.3848,MOYEN
Bertoua,4.553367,13.682542,incendie,1,2026-04-02 17:28:38,17,3,17.0,20.3,25.6,0.5965,MOYEN
Garoua,9.292317,13.414582,incendie,3,2026-03-29 13:02:38,13,6,8.0,5.5,22.8,0.7232,ELEVE
Ngaoundéré,7.372255,13.545664,incendie,1,2025-08-09 06:52:38,6,5,,,,0.5523,MOYEN
Douala,4.073696,9.807611,pollution,2,2025-09-19 08:25:38,8,4,15.0,6.0,23.0,0.8825,ELEVE
Bafoussam,5.495352,10.442237,accident_route,1,2025-11-25 23:54:38,23,1,19.0,43.8,20.6,0.3295,FAIBLE
Bafoussam,5.506153,10.394481,criminalité,4,2025-08-16 23:20:38,23,5,2.0,7.6,31.1,0.4905,MOYEN
Ngaoundéré,7.374405,13.594417,inondation,1,2026-01-29 10:21:38,10,3,3.0,103.5,29.5,0.4246,MOYEN
Maroua,10.623974,14.331018,accident_route,5,2026-06-06 00:09:38,0,5,7.0,0.9,20.9,1.0,ELEVE
Ngaoundéré,7.354504,13.579854,incendie,3,2025-10-14 05:04:38,5,1,15.0,111.6,29.5,0.5666,MOYEN
Douala,4.005309,9.719687,criminalité,5,2025-09-23 21:12:38,21,1,7.0,54.9,23.2,0.9265,ELEVE
Douala,4.010478,9.766513,incendie,5,2026-02-20 06:45:38,6,4,7.0,59.4,32.1,1.0,ELEVE
